Collections,Sales,Buyers,Txns,Owners
Axie Infinity,"$3,823,610,737","1,407,172","12,347,527","2,954,451"
CryptoPunks,"$1,872,306,725","4,963","19,539","3,396"
Art Blocks,"$1,145,227,877","24,081","132,657","28,202"
Bored Ape Yacht Club,"$1,021,497,561","8,829","23,480","6,093"
NBA Top Shot,"$832,477,281","386,282","13,792,625","619,413"
Mutant Ape Yacht Club,"$640,117,753","12,947","22,234","11,196"
The Sandbox,"$291,940,197","17,853","40,184","17,774"
Loot,"$269,140,643","3,754","10,396","2,530"
Meebits,"$252,897,733","5,489","14,507","5,511"
Cool Cats,"$220,607,806","8,412","23,945","5,044"
CloneX,"$201,201,932","4,149","7,061","7,367"
CrypToadz,"$193,681,843","6,986","16,596","3,670"
Parallel Alpha,"$176,772,501","13,145","76,111",
Sorare,"$171,137,642","51,825","924,701","74,566"
Farmers World,"$170,914,399","31,880","1,029,237","50,779"
MekaVerse,"$165,731,021","5,283","10,535","5,145"
Doodles,"$163,571,132","8,613","16,260","5,501"
0N1 Force,"$151,012,035","7,382","16,953","4,228"
Bored Ape Kennel Club,"$150,443,598","6,709","15,824","5,213"
PUNKS Comic,"$149,320,995","3,831","9,876","3,337"
CyberKongz,"$144,695,351","2,783","4,746","2,329"
Pudgy Penguins,"$141,551,986","10,495","27,948","4,713"
Zed Run,"$130,187,842","50,845","200,683","48,834"
Solana Monkey Business,"$120,758,806","3,141","7,015","2,458"
Degenerate Ape Academy,"$117,410,629","6,224","17,794","5,121"
Bored Ape Chemistry Club,"$116,613,537","1,727","3,002",
Veefriends,"$110,716,745","1,577","3,241","5,150"
Curio Cards,"$107,086,927","6,475","19,938",1
Creature World NFT,"$106,703,992","10,343","21,927","6,070"
RTFKT CloneX Mintvial,"$103,130,861","2,520","5,347",1
LOSTPOETS,"$94,748,024","8,006","21,720","5,766"
Emblem Vault,"$92,567,792","4,119","15,136","4,667"
World Of Women,"$90,357,579","7,038","18,515","4,678"
The Doge Pound,"$85,999,383","6,934","13,707","5,567"
Hashmasks,"$84,058,474","5,637","18,278","5,132"
Aurory,"$77,795,882","5,811","12,887","5,425"
Vox Collectibles,"$75,464,419","6,293","16,615","3,416"
Wolf Game,"$75,324,166","7,501","21,656","7,667"
Lazy Lions,"$72,009,938","9,428","22,676","5,006"
CyberKongz VX,"$67,829,637","6,018","15,573","4,282"
Sneaky Vampire Syndicate,"$66,575,745","5,565","13,153","4,594"
Fluf World,"$66,044,890","5,647","16,365","3,647"
Kaiju Kingz,"$65,313,467","2,820","4,718","2,280"
Prime Ape Planet,"$62,435,487","4,890","8,450",36
Mooncats,"$61,981,699","7,068","20,625","5,994"
Sup Ducks,"$60,455,895","6,415","16,130","3,383"
GalacticApes,"$58,121,987","6,577","17,488","3,428"
MutantCats,"$57,716,673","9,090","20,783","4,304"
adidas Originals,"$57,628,442","13,801","18,087",1
888 Inner Circle,"$56,934,438","5,690","11,345",1
Rumble Kong League,"$53,246,893","4,486","11,532","3,062"
Neo Tokyo Identities,"$53,143,109",789,"1,041","1,877"
Anonymice,"$49,748,266","2,651","6,523","1,877"
Galactic Gecko Space Garage,"$49,349,693","5,832","18,184","4,138"
Galaxy Eggs,"$47,163,020","7,388","16,268","5,024"
CryptoKitties,"$47,041,179","112,955","790,192","111,786"
Gutter Cat Gang,"$46,535,824","1,987","3,810",
DeadFellaz,"$45,330,819","9,728","20,301","5,669"
Adam Bomb Squad,"$44,388,615","9,876","26,379","8,208"
Wizards & Dragons Game,"$43,569,670","7,020","23,514","3,158"
Autoglyphs,"$43,293,266",186,352,158
Desperate ApeWives,"$41,680,393","4,839","11,570","4,654"
The Sevens,"$41,424,818","5,399","10,024","3,958"
Treeverse,"$41,209,093","4,967","10,896","3,789"
