
Symbol	Name	US Symbol	Sector	International Market
ABST:TSX	Absolute Software Corporation	ABST	Technology	NasdaqGM
ABX:TSX	Barrick Gold Corporation	GOLD	Mining	NYSE
ACB:TSX	Aurora Cannabis Inc.	ACB	Life Sciences	NasdaqGS
ACST:TSXV	Acasti Pharma Inc.		Life Sciences	NasdaqCM
AEM:TSX	Agnico Eagle Mines Limited	AEM	Mining	NYSE
AEX:TSXV	AEX Gold Inc.		Mining	AIM
AEZS:TSX	AEterna Zentaris Inc.	AEZS	Life Sciences	NasdaqCM
AFM:TSXV	Alphamin Resources Corp.		Mining	JSE
AGI:TSX	Alamos Gold Inc.	AGI	Mining	NYSE
AGLD:TSXV	Austral Gold Limited		Mining	ASX
AKU:TSX	Akumin Inc.	AKU	Life Sciences	NasdaqCM
ALT:TSXV	Alturas Minerals Corp.		Mining	Lima (BVL)
ALTS:TSXV	Altus Strategies PLC		Mining	AIM
ALYA:TSX	Alithya Group Inc.	ALYA	Technology	NasdaqCM
AMM:TSX	Almaden Minerals Ltd.	AAU	Mining	NYSE MKT
AOI:TSX	Africa Oil Corp.		Oil & Gas	Nasdaq Nordic
APS:TSX	Aptose Biosciences Inc.	APTO	Life Sciences	NasdaqCM
APY:TSX	Anglo Pacific Group PLC		Mining	LSE
AQN:TSX	Algonquin Power & Utilities Corp.	AQN	Clean Technology	NYSE
ASM:TSX	Avino Silver & Gold Mines Ltd.	ASM	Mining	NYSE MKT
AT:TSX	AcuityAds Holdings Inc.	ATY	Technology	NasdaqCM
AUMN:TSX	Golden Minerals Company	AUMN	Mining	NYSE MKT
AUP:TSX	Aurinia Pharmaceuticals Inc.		Life Sciences	NasdaqGM
AXU:TSX	Alexco Resource Corp.	AXU	Mining	NYSE MKT
AYM:TSX	Atalaya Mining plc		Mining	AIM
BAM.A:TSX	Brookfield Asset Management Inc.	BAM	Financial Services	NYSE
BAMR:TSX	Brookfield Asset Management Reinsurance Partners Ltd.	BAMR	Financial Services	NYSE
BB:TSX	BlackBerry Limited	BB	Technology	NYSE
BBU.UN:TSX	Brookfield Business Partners L.P.	BBU	Real Estate	NYSE
BCE:TSX	BCE Inc.	BCE	Communications & Media	NYSE
BCM:TSXV	Bear Creek Mining Corporation		Mining	Lima (BVL)
BCT:TSXV	BriaCell Therapeutics Corp.		Life Sciences	NasdaqCM
BEP.UN:TSX	Brookfield Renewable Partners L.P.	BEP	Clean Technology	NYSE
BEPC:TSX	Brookfield Renewable Corporation	BEPC	Clean Technology	NYSE
BHC:TSX	Bausch Health Companies Inc.	BHC	Life Sciences	NYSE
BIP.UN:TSX	Brookfield Infrastructure Partners L.P.	BIP	Industrial Products & Services	NYSE
BIPC:TSX	Brookfield Infrastructure Corporation	BIPC	Industrial Products & Services	NYSE
BITF:TSXV	Bitfarms Ltd.		Technology	NasdaqCM
BLDP:TSX	Ballard Power Systems Inc.	BLDP	Clean Technology	NasdaqGM
BLU:TSX	BELLUS Health Inc.	BLU	Life Sciences	NasdaqGM
BMO:TSX	Bank of Montreal	BMO	Financial Services	NYSE
BNS:TSX	Bank of Nova Scotia (The)	BNS	Financial Services	NYSE
BPYP.PR.A:TSX	Brookfield Property Partners L.P.	BPYPM	Real Estate	NasdaqGM
BTE:TSX	Baytex Energy Corp.		Oil & Gas	NYSE
BTO:TSX	B2Gold Corp.	BTG	Mining	NYSE MKT
BU:TSX	Burcon NutraScience Corporation	BRCN	Clean Technology	NasdaqCM
BUF:TSXV	Buffalo Coal Corp.		Mining	JSE
BZ:TSXV	Benz Mining Corp.		Mining	ASX
CAE:TSX	CAE Inc.	CAE	Technology	NYSE
CCO:TSX	Cameco Corporation	CCJ	Mining	NYSE
CDAY:TSX	Ceridian HCM Holding Inc.	CDAY	Technology	NYSE
CEE:TSX	Centamin plc		Mining	LSE
CEF.U:TSX	Sprott Physical Gold and Silver Trust	CEF	Closed-End Funds	NYSE Arca
CG:TSX	Centerra Gold Inc.	CGAU	Mining	NYSE
CGG:TSX	China Gold International Resources Corp. Ltd.		Mining	HKEx
CGI:TSX	Canadian General Investments Limited		Closed-End Funds	LSE
CIA:TSX	Champion Iron Limited		Mining	ASX
CIGI:TSX	Colliers International Group Inc.	CIGI	Real Estate	NasdaqGM
CIX:TSX	CI Financial Corp.	CIXX	Financial Services	NYSE
CLS:TSX	Celestica Inc.	CLS	Technology	NYSE
CM:TSX	Canadian Imperial Bank Of Commerce	CM	Financial Services	NYSE
CMMC:TSX	Copper Mountain Mining Corporation		Mining	ASX
CNE:TSX	Canacol Energy Ltd.		Oil & Gas	BVC
CNQ:TSX	Canadian Natural Resources Limited	CNQ	Oil & Gas	NYSE
CNR:TSX	Canadian National Railway Company	CNI	Industrial Products & Services	NYSE
CNU:TSX	CNOOC Limited	CEO	Oil & Gas	NYSE
COG:TSX	Condor Gold plc		Mining	AIM
CP:TSX	Canadian Pacific Railway Limited	CP	Industrial Products & Services	NYSE
CPG:TSX	Crescent Point Energy Corp.	CPG	Oil & Gas	NYSE
CRDL:TSX	Cardiol Therapeutics Inc.	CRDL	Life Sciences	NASDAQ
CRON:TSX	Cronos Group Inc.	CRON	Life Sciences	NasdaqGM
CUSN:TSXV	Cornish Metals Inc.		Mining	AIM
CVE:TSX	Cenovus Energy Inc.	CVE	Oil & Gas	NYSE
DCBO:TSX	Docebo Inc.	DCBO	Technology	NasdaqGS
DML:TSX	Denison Mines Corp.	DNN	Mining	NYSE MKT
DNT:TSX	Candente Copper Corp.		Mining	Lima (BVL)
DOO:TSX	BRP Inc.	DOOO	Consumer Products & Services	NasdaqGM
DRT:TSX	DIRTT Environmental Solutions Ltd.	DRTT	Clean Technology	NasdaqGM
DSG:TSX	Descartes Systems Group Inc. (The)	DSGX	Technology	NasdaqGM
EDR:TSX	Endeavour Silver Corp.	EXK	Mining	NYSE
EFR:TSX	Energy Fuels Inc.	UUUU	Mining	NYSE MKT
EGLX:TSX	Enthusiast Gaming Holdings Inc.	EGLX	Technology	NasdaqGS
ELD:TSX	Eldorado Gold Corporation	EGO	Mining	NYSE
ELR:TSX	Eastern Platinum Limited		Mining	JSE
EMN:TSXV	Euro Manganese Inc.		Mining	ASX
EMX:TSXV	EMX Royalty Corporation		Mining	NYSE MKT
ENB:TSX	Enbridge Inc.	ENB	Utilities & Pipelines	NYSE
EOG:TSXV	Eco (Atlantic) Oil & Gas Ltd.		Oil & Gas	AIM
EQX:TSX	Equinox Gold Corp.	EQX	Mining	NYSE MKT
ERF:TSX	Enerplus Corporation	ERF	Oil & Gas	NYSE
ERO:TSX	Ero Copper Corp.	ERO	Mining	NYSE
ETX:TSX	Etrion Corporation		Clean Technology	Nasdaq Nordic
EXF:TSX	EXFO Inc.	EXFO	Technology	NasdaqGM
EXN:TSX	Excellon Resources Inc.	EXN	Mining	NYSE MKT
FCC:TSXV	First Cobalt Corp.		Mining	ASX
FIL:TSXV	Filo Mining Corp.		Mining	Nasdaq Nordic
FMN:TSXV	Fidelity Minerals Corp.		Mining	SSEV
FNV:TSX	Franco-Nevada Corporation	FNV	Mining	NYSE
FO:TSXV	Falcon Oil & Gas Ltd.		Oil & Gas	AIM, Irish Stock Exchange
FR:TSX	First Majestic Silver Corp.	AG	Mining	NYSE
FRX:TSX	Fennec Pharmaceuticals Inc.	FENC	Life Sciences	NasdaqCM
FSV:TSX	FirstService Corporation	FSV	Real Estate	NasdaqGM
FTRP:TSX	Field Trip Health Ltd.	FTRP	Life Sciences	NasdaqGS
FTS:TSX	Fortis Inc.	FTS	Utilities & Pipelines	NYSE
