Name of underlying instrument	Option symbol	Underlying symbol
AcuityAds Holdings Inc.	AT	AT
Aecon Group Inc.	ARE	ARE
AGF Management Ltd., Cl. B	AGF	AGF.B
Agnico Eagle Mines Limited	AEM	AEM
Air Canada	AC	AC
Alamos Gold Inc.	AGI	AGI
Alaris Royalty Corp.	AD	AD u
Algonquin Power & Utilities Corp.	AQN	AQN
Alimentation Couche Tard Inc., Cl. B	ATD	ATD.B
Allied Properties Real Estate Investment Trust	AP	AP u
AltaGas Ltd.	ALA	ALA
Altus Group Limited	AIF	AIF
ARC Resources Ltd.	ARX	ARX
ARC Resources Ltd.	ARX1	ARX1
Aritzia Inc.	ATZ	ATZ
Artis Real Estate Investment Trust	AX	AX u
ATCO Ltd. Cl. I	ACO	ACO.X
ATS Automation Tooling Systems Inc.	ATA	ATA
Aurinia Pharmaceuticals Inc.	AUP	AUP
Aurora Cannabis Inc.	ACB	ACB
Aurora Cannabis Inc.	ACB1	ACB1
AutoCanada Inc.	ACQ	ACQ
B2Gold Corp.	BTO	BTO
Badger Infrastructure Solutions Ltd.	BDGI	BDGI
Ballard Power Systems Inc.	BLDP	BLDP
Bank of Montreal	BMO	BMO
Bank of Nova Scotia (The)	BNS	BNS
Barrick Gold Corporation	ABX	ABX
Bausch Health Companies Inc.	BHC	BHC
Baytex Energy Corp.	BTE	BTE
BCE Inc.	BCE	BCE
Birchcliff Energy Limited	BIR	BIR
BlackBerry Limited	BB	BB
Boardwalk Real Estate Investment Trust	BEI	BEIu
Bombardier Inc., Cl. B	BBD	BBD.B
Boralex Inc. Class A Shares	BLX	BLX
Boyd Group Services Inc.	BYD	BYD
Brookfield Asset Management Inc., Cl. A	BAM	BAM.A
Brookfield Asset Management Inc., Cl. A	BAM1	BAM1
Brookfield Asset Management Inc., Cl. A	BAM2	BAM2
Brookfield Business Partners L.P.	BBU	BBUu
Brookfield Infrastructure Partners L.P.	BIP	BIPu
Brookfield Renewable Corporation	BEPC	BEPC
Brookfield Renewable Partners L.P.	BEP	BEPu
BRP Inc.	DOO	DOO
CAE Inc.	CAE	CAE
Cameco Corporation	CCO	CCO
Canaccord Genuity Group Inc.	CF	CF
Canada Goose Holdings Inc.	GOOS	GOOS
Canadian Apartment Properties Real Estate Investment Trust	CAR	CARu
Canadian Imperial Bank of Commerce	CM	CM
Canadian National Railway Company	CNR	CNR
Canadian Natural Resources Limited	CNQ	CNQ
Canadian Pacific Railway Limited	CP	CP
Canadian Tire Corporation Limited, Cl. A	CTC	CTC.A
Canadian Utilities Limited, Cl. A	CU	CU
Canadian Western Bank	CWB	CWB
Canfor Corporation	CFP	CFP
Canopy Growth Corporation	WEED	WEED
Capital Power Corporation	CPX	CPX
Capstone Mining Corp.	CS	CS
Cardinal Energy Ltd.	CJ	CJ
Cascades Inc.	CAS	CAS
CCL Industries Inc., Cl. B	CCL	CCL.B
Celestica Inc.	CLS	CLS
Cenovus Energy Inc.	CVE	CVE
Cenovus Energy Inc.	CVE1	CVE1
Centerra Gold Inc.	CG	CG
CGI Inc., Cl. A	GIB	GIB.A
Champion Iron Limited	CIA	CIA
Charlotte’s Web Holdings Inc.	CWEB	CWEB
Chartwell Retirement Residences	CSH	CSHu
Chemtrade Logistics Income Fund	CHE	CHEu
Choice Properties Real Estate Investment Trust	CHP	CHPu
CI Financial Corp.	CIX	CIX
Cineplex Inc.	CGX	CGX
Cogeco Communications Inc.	CCA	CCA
Colliers International Group Inc. Subordinate Voting	CIGI	CIGI
Cominar Real Estate Investment Trust	CUF	CUFu
Converge Technology Solutions Corp.	CTS	CTS
CORUS Entertainment Inc., Cl. B	CJR	CJR.B
Crescent Point Energy Corp.	CPG	CPG
Crombie Real Estate Investment Trust	CRR	CRRu
Cronos Group Inc.	CRON	CRON
Descartes Systems Group Inc.	DSG	DSG
Dollarama Inc.	DOL	DOL
Domtar Corporation	UFS	UFS
Dream Industrial Real Estate Investment Trust	DIR	DIRu
Dream Office Real Estate Investment Trust	D	D u
DREAM Unlimited Corp.	DRM	DRM
Dundee Precious Metals Inc.	DPM	DPM
Dye & Durham Limited	DND	DND
ECN Capital Corp.	ECN	ECN
Eldorado Gold Corp.	ELD	ELD
Element Fleet Management Corp.	EFN	EFN
Emera Inc.	EMA	EMA
Empire Company Limited, Cl. A	EMP	EMP.A
Enbridge Inc.	ENB	ENB
Endeavour Mining Corporation	EDV	EDV
Endeavour Silver Corp.	EDR	EDR
Enerflex Ltd.	EFX	EFX
Energy Fuels Inc.	EFR	EFR
Enerplus Resources Fund	ERF	ERF
Enthusiast Gaming Holdings Inc.	EGLX	EGLX
Equinox Gold Corp	EQX	EQX
Ero Copper Corp.	ERO	ERO
Extendicare Inc.	EXE	EXE
Finning International Inc.	FTT	FTT
First Capital Real Estate Investment Trust	FCR	FCRu
First Majestic Silver Corp.	FR	FR
First Quantum Minerals Ltd.	FM	FM
Fortis Inc.	FTS	FTS
Fortuna Silver Mines Inc.	FVI	FVI
